iter	Passed	Remaining
0	173	173257
1	196	97949
2	218	72739
3	242	60371
4	265	52885
5	294	48793
6	320	45481
7	343	42564
8	367	40514
9	392	38900
10	422	37945
11	446	36760
12	473	35929
13	499	35192
14	521	34256
15	545	33578
16	570	33002
17	598	32643
18	621	32085
19	644	31561
20	669	31211
21	691	30738
22	717	30469
23	758	30850
24	797	31106
25	820	30745
26	851	30685
27	874	30348
28	900	30134
29	922	29840
30	949	29688
31	987	29857
32	1014	29731
33	1037	29470
34	1064	29357
35	1090	29204
36	1117	29084
37	1141	28909
38	1168	28792
39	1192	28624
40	1216	28448
41	1245	28414
42	1276	28413
43	1303	28321
44	1328	28195
45	1352	28039
46	1378	27943
47	1400	27773
48	1425	27668
49	1448	27517
50	1476	27467
51	1499	27340
52	1525	27260
53	1553	27208
54	1577	27096
55	1600	26985
56	1626	26903
57	1658	26943
58	1684	26862
59	1707	26747
60	1734	26706
61	1760	26640
62	1786	26569
63	1810	26473
64	1836	26414
65	1861	26341
66	1884	26248
67	1907	26148
68	1933	26093
69	1956	25997
70	1983	25949
71	2005	25844
72	2031	25798
73	2054	25711
74	2082	25690
75	2109	25641
76	2134	25586
77	2158	25516
78	2180	25419
79	2203	25336
80	2231	25313
81	2253	25230
82	2283	25226
83	2309	25189
84	2334	25129
85	2359	25076
86	2380	24979
87	2404	24920
88	2428	24856
89	2451	24786
90	2477	24746
91	2510	24779
92	2539	24768
93	2569	24769
94	2596	24735
95	2622	24691
96	2644	24615
97	2669	24567
98	2693	24512
99	2714	24434
100	2742	24408
101	2764	24336
102	2789	24293
103	2811	24222
104	2836	24177
105	2860	24122
106	2886	24091
107	2910	24036
108	2939	24031
109	2963	23977
110	2987	23923
111	3013	23889
112	3037	23841
113	3062	23801
114	3085	23745
115	3109	23697
116	3134	23658
117	3156	23593
118	3178	23529
119	3202	23481
120	3224	23424
121	3253	23414
122	3275	23358
123	3306	23361
124	3332	23324
125	3355	23276
126	3376	23210
127	3400	23169
128	3426	23138
129	3451	23097
130	3473	23044
131	3499	23011
132	3523	22969
133	3547	22923
134	3567	22859
135	3593	22828
136	3617	22784
137	3641	22744
138	3662	22684
139	3692	22685
140	3720	22665
141	3745	22633
142	3766	22572
143	3792	22545
144	3815	22496
145	3840	22466
146	3862	22413
147	3884	22364
148	3909	22327
149	3934	22294
150	3956	22246
151	3979	22202
152	4004	22171
153	4029	22134
154	4052	22090
155	4079	22070
156	4110	22069
157	4135	22037
158	4156	21985
159	4180	21949
160	4203	21907
161	4233	21900
162	4257	21860
163	4282	21831
164	4306	21796
165	4331	21764
166	4352	21711
167	4377	21678
168	4403	21651
169	4427	21616
170	4449	21568
171	4472	21529
172	4505	21540
173	4530	21506
174	4552	21460
175	4576	21428
176	4601	21396
177	4625	21360
178	4648	21320
179	4669	21273
180	4696	21251
181	4718	21207
182	4744	21182
183	4767	21140
184	4791	21107
185	4816	21080
186	4840	21045
187	4861	20998
188	4890	20983
189	4912	20940
190	4934	20898
191	4956	20859
192	4978	20817
193	5002	20784
194	5025	20745
195	5045	20697
196	5072	20674
197	5093	20631
198	5114	20587
199	5136	20546
200	5159	20510
201	5184	20481
202	5208	20449
203	5236	20430
204	5259	20397
205	5289	20386
206	5314	20360
207	5338	20327
208	5360	20289
209	5385	20261
210	5410	20231
211	5437	20209
212	5459	20170
213	5485	20149
214	5510	20118
215	5532	20081
216	5556	20049
217	5581	20022
218	5605	19991
219	5630	19961
220	5652	19923
221	5683	19916
222	5708	19888
223	5730	19851
224	5754	19820
225	5777	19788
226	5802	19758
227	5828	19733
228	5849	19694
229	5873	19662
230	5897	19632
231	5920	19597
232	5943	19565
233	5968	19537
234	5993	19512
235	6017	19480
236	6038	19440
237	6065	19418
238	6095	19408
239	6118	19376
240	6141	19341
241	6163	19303
242	6186	19271
243	6213	19250
244	6239	19228
245	6263	19196
246	6286	19163
247	6310	19135
248	6332	19098
249	6357	19073
250	6379	19035
251	6406	19015
252	6426	18973
253	6452	18952
254	6480	18932
255	6508	18915
256	6531	18881
257	6556	18854
258	6580	18827
259	6607	18806
260	6633	18781
261	6658	18756
262	6684	18732
263	6711	18710
264	6734	18679
265	6757	18647
266	6783	18623
267	6805	18588
268	6829	18558
269	6851	18524
270	6877	18501
271	6905	18483
272	6925	18443
273	6951	18418
274	6975	18390
275	7000	18364
276	7019	18322
277	7049	18308
278	7073	18280
279	7097	18249
280	7118	18214
281	7142	18185
